"name","X","DATA_INDEX","CHROMOSOME","DATA_START","DATA_END","Peaks","FEATURE_TRACK","FEATURE_STRAND","FEATURE_START","FEATURE_END","SHORTEST_DISTANCE_FROM_FEATURE_TO_DATA_POINT","CENTER_TO_CENTER_DISTANCE_FROM_FEATURE_TO_DATA_POINT","ncbi_gene_id","Region","color","OTHER","description","accession","synonyms"
"HOXA9",12876,4904,"chr7",27203055,27204207,2.7512,"transcription_start_site","-",27205129,27205129,922,1496,3205,"chr7:27205129-27205129",9900,"MGC1934,HOX1,HOX1G,HOX1.7,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr7:27205129-27205129&pix=800&Submit=submit","homeobox A9","BC006537","ABD-B"
"HOXB3",28873,10872,"chr17",46628852,46629009,2.3013,"transcription_start_site","-",46629836,46629836,827,908,3213,"chr17:46629836-46629836",9900,"Hox-2.7,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:46629836-46629836&pix=800&Submit=submit,HOX2G","homeobox B3","BC172550","HOX2"
"HOXB8",28889,10879,"chr17",46693031,46693460,2.8982,"transcription_start_site","-",46692301,46692301,-730,-948,3218,"chr17:46692301-46692301",9900,"Hox-2.4,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:46692301-46692301&pix=800&Submit=submit,HOX2D","homeobox B8","NM_024016","HOX2"
"HOXC10",21507,8201,"chr12",54376609,54377946,4.314,"transcription_start_site","+",54378945,54378945,-999,-1668,3226,"chr12:54378945-54378945",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr12:54378945-54378945&pix=800&Submit=submit,MGC5259","homeobox C10","NM_017409","HOX3I"
"HOXC12",21500,8198,"chr12",54347962,54348590,2.8869,"transcription_start_site","+",54348713,54348713,-123,-436,3228,"chr12:54348713-54348713",9900,"HOX3,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr12:54348713-54348713&pix=800&Submit=submit,HOX3F","homeobox C12","NM_173860","HOC3F"
"HOXD1",4914,1843,"chr2",177054382,177055342,1.9016,"transcription_start_site","+",177053306,177053306,1076,1552,3231,"chr2:177053306-177053306",9900,"HOX4G,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr2:177053306-177053306&pix=800&Submit=submit,Hox-4.7","homeobox D1","NM_024501","HOX4"
"HOXD10",4891,1835,"chr2",176976882,176977011,2.5987,"transcription_start_site","+",176981491,176981491,-4480,-4544,3236,"chr2:176981491-176981491",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr2:176981491-176981491&pix=800&Submit=submit,HOX4D,HOX4E,Hox-4.4","homeobox D10","NM_002148","HOX4"
"ISL1",9248,3563,"chr5",50673264,50674143,3.638,"transcription_start_site","+",50678957,50678957,-4814,-5252,3670,"chr5:50678957-50678957",9900,"Isl-1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr5:50678957-50678957&pix=800&Submit=submit","ISL LIM homeobox 1","NM_002202","ISLET1"
"LIF",34991,13193,"chr22",30644336,30644665,2.7091,"transcription_start_site","-",30642732,30642732,-1604,-1768,3976,"chr22:30642732-30642732",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:30642732-30642732&pix=800&Submit=submit,DIA,HILDA","leukemia inhibitory factor (cholinergic differentiation factor)","BC093733","CDF"
"MSX2",10486,3977,"chr5",174146316,174146773,3.3743,"transcription_start_site","+",174151574,174151574,-4801,-5024,4488,"chr5:174151574-174151574",9900,"HOX8,MSH,PFM1,FPP,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr5:174151574-174151574&pix=800&Submit=submit,PFM","msh homeobox 2","NM_002449","CRS2"
"NEUROD1",4945,1858,"chr2",182543429,182543897,3.8431,"transcription_start_site","-",182545213,182545213,1316,1552,4760,"chr2:182545213-182545213",9900,"bHLHa3,NEUROD,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr2:182545213-182545213&pix=800&Submit=submit,BHF-1","neurogenic differentiation 1","BC009046","BETA2"
"NKX2-2",33320,12530,"chr20",21496482,21498031,2.3806,"transcription_start_site","-",21494335,21494335,-2147,-2920,4821,"chr20:21494335-21494335",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr20:21494335-21494335&pix=800&Submit=submit,NKX2B","NK2 homeobox 2","BC075092","NKX2.2"
"OLIG2",34246,12897,"chr21",34396563,34397311,2.5091,"transcription_start_site","+",34398238,34398238,-927,-1304,10215,"chr21:34398238-34398238",9900,"OLIGO2,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr21:34398238-34398238&pix=800&Submit=submit,PRKCBP2,bHLHe19,RACK17","oligodendrocyte lineage transcription factor 2","NM_005806","BHLHB1"
"PAX1",33323,12531,"chr20",21681879,21683237,4.2454,"transcription_start_site","+",21686296,21686296,-3059,-3738,5075,"chr20:21686296-21686296",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr20:21686296-21686296&pix=800&Submit=submit","paired box 1","NM_006192","HUP48"
"PAX5",15835,6086,"chr9",37036402,37036627,2.5563,"transcription_start_site","-",37034028,37034028,-2374,-2484,5079,"chr9:37034028-37034028",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr9:37034028-37034028&pix=800&Submit=submit","paired box 5","BC156927","BSAP"
"PAX6",18756,7212,"chr11",31836885,31837158,2.0094,"transcription_start_site","-",31832785,31832785,-4100,-4236,5080,"chr11:31832785-31832785",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr11:31832785-31832785&pix=800&Submit=submit,WAGR,MGC17209,D11S812E,MGDA,AN2","paired box 6","BC011953","AN"
"PAX9",23452,8910,"chr14",37123372,37124243,2.9418,"transcription_start_site","+",37126772,37126772,-2529,-2964,5083,"chr14:37126772-37126772",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr14:37126772-37126772&pix=800&Submit=submit","paired box 9","NM_006194","STHAG3"
"PITX3",17855,6873,"chr10",104004118,104004581,2.3629,"transcription_start_site","-",104001230,104001230,-2888,-3120,5309,"chr10:104001230-104001230",9900,"MGC12766,PTX3,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr10:104001230-104001230&pix=800&Submit=submit","paired-like homeodomain 3","BC011642","CTPP4"
"POU4F1",22954,8718,"chr13",79178538,79178677,2.6343,"transcription_start_site","-",79177466,79177466,-1072,-1144,5457,"chr13:79177466-79177466",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr13:79177466-79177466&pix=800&Submit=submit,RDC-1,FLJ13449,Oct-T1","POU class 4 homeobox 1","BC148792","BRN3A"
"SOX17",14864,5690,"chr8",55369814,55370073,2.2079,"transcription_start_site","+",55370494,55370494,-421,-552,64321,"chr8:55370494-55370494",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr8:55370494-55370494&pix=800&Submit=submit","SRY (sex determining region Y)-box 17","NM_022454","FLJ22252"
"SOX9",29266,11018,"chr17",70113784,70114126,2.6457,"transcription_start_site","+",70117160,70117160,-3034,-3208,6662,"chr17:70117160-70117160",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:70117160-70117160&pix=800&Submit=submit,SRA1,CMPD1","SRY (sex determining region Y)-box 9","NM_000346","CMD1"
"STAT3",28582,10773,"chr17",40541426,40542657,3.847,"transcription_start_site","-",40540405,40540405,-1021,-1636,6774,"chr17:40540405-40540405",9900,"FLJ20882,HIES,MGC16063,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:40540405-40540405&pix=800&Submit=submit","signal transducer and activator of transcription 3 (acute-phase response factor)","NM_213662","APRF"
"TBX5",22113,8405,"chr12",114847255,114847704,3.2139,"transcription_start_site","-",114843889,114843889,-3366,-3592,6910,"chr12:114843889-114843889",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr12:114843889-114843889&pix=800&Submit=submit","T-box 5","NM_181486","HOS"
"TLX3",10446,3962,"chr5",170731177,170731432,2.6465,"transcription_start_site","+",170736287,170736287,-4855,-4992,30012,"chr5:170736287-170736287",9900,"MGC29804,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr5:170736287-170736287&pix=800&Submit=submit,RNX","T-cell leukemia homeobox 3","NM_021025","HOX11L2"
"WT1",18761,7214,"chr11",32454512,32455770,3.3554,"transcription_start_site","-",32452359,32452359,-2153,-2780,7490,"chr11:32452359-32452359",9900,"WAGR,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr11:32452359-32452359&pix=800&Submit=submit,WT33,WIT-2,GUD","Wilms tumor 1","BC032861","AWT1"
"ZIC1",7098,2697,"chr3",147125072,147126441,4.6254,"transcription_start_site","+",147127180,147127180,-739,-1424,7545,"chr3:147127180-147127180",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr3:147127180-147127180&pix=800&Submit=submit,ZNF201","Zic family member 1 (odd-paired homolog, Drosophila)","NM_003412","ZIC"
