"name","X","DATA_INDEX","CHROMOSOME","DATA_START","DATA_END","Peaks","FEATURE_TRACK","FEATURE_STRAND","FEATURE_START","FEATURE_END","SHORTEST_DISTANCE_FROM_FEATURE_TO_DATA_POINT","CENTER_TO_CENTER_DISTANCE_FROM_FEATURE_TO_DATA_POINT","ncbi_gene_id","Region","color","OTHER","description","accession","synonyms"
"NOD1",12908,4921,"chr7",30516008,30517061,3.2627,"transcription_start_site","-",30518308,30518308,1247,1774,10392,"chr7:30518308-30518308",9900,"NLRC1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr7:30518308-30518308&pix=800&Submit=submit,CLR7.1","nucleotide-binding oligomerization domain containing 1","BC040339","CARD4"
"PAX1",33323,12531,"chr20",21681879,21683237,4.2454,"transcription_start_site","+",21686296,21686296,-3059,-3738,5075,"chr20:21686296-21686296",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr20:21686296-21686296&pix=800&Submit=submit","paired box 1","NM_006192","HUP48"
"RELA",19430,7446,"chr11",65428783,65429416,4.0847,"transcription_start_site","-",65430309,65430309,893,1208,5970,"chr11:65430309-65430309",9900,"p65,NFKB3,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr11:65430309-65430309&pix=800&Submit=submit","v-rel reticuloendotheliosis viral oncogene homolog A (avian)","BC033522","MGC131774"
"S1PR3",15997,6161,"chr9",91605077,91605517,3.1141,"transcription_start_site","+",91606361,91606361,-844,-1064,1903,"chr9:91606361-91606361",9900,"FLJ93220,FLJ37523,S1P3,LPB3,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr9:91606361-91606361&pix=800&Submit=submit,MGC71696,EDG3","sphingosine-1-phosphate receptor 3","NM_005226","EDG-3"
"SOCS1",25998,9823,"chr16",11353996,11355235,2.5018,"transcription_start_site","-",11349335,11349335,-4661,-5281,8651,"chr16:11349335-11349335",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr16:11349335-11349335&pix=800&Submit=submit,SOCS-1,CISH1,SSI1,TIP3,SSI-1,JAB","suppressor of cytokine signaling 1","BC153088","CIS1"
"TH1L",33933,12768,"chr20",57555032,57555289,2.5629,"transcription_start_site","+",57556310,57556310,-1021,-1152,51497,"chr20:57556310-57556310",9900,"TH1,NELF-D,NELF-C,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr20:57556310-57556310&pix=800&Submit=submit","TH1-like (Drosophila)","NM_198976","HSPC130"
"TIRAP",20409,7798,"chr11",126149616,126150177,3.9345,"transcription_start_site","+",126152981,126152981,-2804,-3088,114609,"chr11:126152981-126152981",9900,"Mal,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr11:126152981-126152981&pix=800&Submit=submit,wyatt","toll-interleukin 1 receptor (TIR) domain containing adaptor protein","NM_148910","FLJ42305"
"TLR5",2983,1113,"chr1",223316922,223317269,2.4735,"transcription_start_site","-",223316624,223316624,-298,-464,7100,"chr1:223316624-223316624",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:223316624-223316624&pix=800&Submit=submit,TIL3,SLEB1,MGC126430,MGC126431","toll-like receptor 5","NM_003268","FLJ10052"
"TOLLIP",18326,7049,"chr11",1331817,1332782,5.1889,"transcription_start_site","-",1330809,1330809,-1008,-1490,54472,"chr11:1330809-1330809",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr11:1330809-1330809&pix=800&Submit=submit,IL-1RAcPIP","toll interacting protein","BC018272","FLJ33531"
"TRAF2",16923,6513,"chr9",139787952,139788202,2.9801,"transcription_start_site","+",139793164,139793164,-4962,-5088,7186,"chr9:139793164-139793164",9900,"TRAP3,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr9:139793164-139793164&pix=800&Submit=submit,TRAP","TNF receptor-associated factor 2","BC064662","MGC:45012"
