name,description,pathway
BCL2,B-cell CLL/lymphoma 2,Complete_Human_Tumor_Suppressor_Genes
BCR,breakpoint cluster region,Complete_Human_Tumor_Suppressor_Genes
BRCA1,breast cancer 1  early onset,Complete_Human_Tumor_Suppressor_Genes
CDX2,caudal type homeobox 2,Complete_Human_Tumor_Suppressor_Genes
CHFR,checkpoint with forkhead and ring finger domains,Complete_Human_Tumor_Suppressor_Genes
DIRAS3,DIRAS family  GTP-binding RAS-like 3,Complete_Human_Tumor_Suppressor_Genes
ERBB2,v-erb-b2 erythroblastic leukemia viral oncogene homolog 2  neuro/glioblastoma derived oncogene homolog (avian),Complete_Human_Tumor_Suppressor_Genes
IGF2R,insulin-like growth factor 2 receptor,Complete_Human_Tumor_Suppressor_Genes
MGMT,O-6-methylguanine-DNA methyltransferase,Complete_Human_Tumor_Suppressor_Genes
NEUROG1,neurogenin 1,Complete_Human_Tumor_Suppressor_Genes
RASSF1,Ras association (RalGDS/AF-6) domain family member 1,Complete_Human_Tumor_Suppressor_Genes
SFRP2,secreted frizzled-related protein 2,Complete_Human_Tumor_Suppressor_Genes
SOCS1,suppressor of cytokine signaling 1,Complete_Human_Tumor_Suppressor_Genes
SPARC,secreted protein  acidic  cysteine-rich (osteonectin),Complete_Human_Tumor_Suppressor_Genes
TP53,tumor protein p53,Complete_Human_Tumor_Suppressor_Genes
TP73,tumor protein p73,Complete_Human_Tumor_Suppressor_Genes
TSC1,tuberous sclerosis 1,Complete_Human_Tumor_Suppressor_Genes
WT1,Wilms tumor 1,Complete_Human_Tumor_Suppressor_Genes
XRCC1,X-ray repair complementing defective repair in Chinese hamster cells 1,Complete_Human_Tumor_Suppressor_Genes
CDX2,caudal type homeobox 2,Complete_Stem_Cell_Transcription_Factors
DLX1,distal-less homeobox 1,Complete_Stem_Cell_Transcription_Factors
EGR3,early growth response 3,Complete_Stem_Cell_Transcription_Factors
GATA6,GATA binding protein 6,Complete_Stem_Cell_Transcription_Factors
GBX2,gastrulation brain homeobox 2,Complete_Stem_Cell_Transcription_Factors
HAND1,heart and neural crest derivatives expressed 1,Complete_Stem_Cell_Transcription_Factors
HOXA11,homeobox A11,Complete_Stem_Cell_Transcription_Factors
HOXA2,homeobox A2,Complete_Stem_Cell_Transcription_Factors
HOXA3,homeobox A3,Complete_Stem_Cell_Transcription_Factors
HOXA7,homeobox A7,Complete_Stem_Cell_Transcription_Factors
HOXA9,homeobox A9,Complete_Stem_Cell_Transcription_Factors
HOXB3,homeobox B3,Complete_Stem_Cell_Transcription_Factors
HOXB8,homeobox B8,Complete_Stem_Cell_Transcription_Factors
HOXC10,homeobox C10,Complete_Stem_Cell_Transcription_Factors
HOXC12,homeobox C12,Complete_Stem_Cell_Transcription_Factors
HOXD1,homeobox D1,Complete_Stem_Cell_Transcription_Factors
HOXD10,homeobox D10,Complete_Stem_Cell_Transcription_Factors
ISL1,ISL LIM homeobox 1,Complete_Stem_Cell_Transcription_Factors
LIF,leukemia inhibitory factor (cholinergic differentiation factor),Complete_Stem_Cell_Transcription_Factors
MSX2,msh homeobox 2,Complete_Stem_Cell_Transcription_Factors
NEUROD1,neurogenic differentiation 1,Complete_Stem_Cell_Transcription_Factors
NKX2-2,NK2 homeobox 2,Complete_Stem_Cell_Transcription_Factors
OLIG2,oligodendrocyte lineage transcription factor 2,Complete_Stem_Cell_Transcription_Factors
PAX1,paired box 1,Complete_Stem_Cell_Transcription_Factors
PAX5,paired box 5,Complete_Stem_Cell_Transcription_Factors
PAX6,paired box 6,Complete_Stem_Cell_Transcription_Factors
PAX9,paired box 9,Complete_Stem_Cell_Transcription_Factors
PITX3,paired-like homeodomain 3,Complete_Stem_Cell_Transcription_Factors
POU4F1,POU class 4 homeobox 1,Complete_Stem_Cell_Transcription_Factors
SOX17,SRY (sex determining region Y)-box 17,Complete_Stem_Cell_Transcription_Factors
SOX9,SRY (sex determining region Y)-box 9,Complete_Stem_Cell_Transcription_Factors
STAT3,signal transducer and activator of transcription 3 (acute-phase response factor),Complete_Stem_Cell_Transcription_Factors
TBX5,T-box 5,Complete_Stem_Cell_Transcription_Factors
TLX3,T-cell leukemia homeobox 3,Complete_Stem_Cell_Transcription_Factors
WT1,Wilms tumor 1,Complete_Stem_Cell_Transcription_Factors
ZIC1,Zic family member 1 (odd-paired homolog  Drosophila),Complete_Stem_Cell_Transcription_Factors
APEX1,APEX nuclease (multifunctional DNA repair enzyme) 1,Complete_Stress_&_Toxicity
ATF4,activating transcription factor 4 (tax-responsive enhancer element B67),Complete_Stress_&_Toxicity
BRCA1,breast cancer 1  early onset,Complete_Stress_&_Toxicity
CCS,copper chaperone for superoxide dismutase,Complete_Stress_&_Toxicity
CYP1A1,cytochrome P450  family 1  subfamily A  polypeptide 1,Complete_Stress_&_Toxicity
ERCC1,excision repair cross-complementing rodent repair deficiency  complementation group 1 (includes overlapping antisense sequence),Complete_Stress_&_Toxicity
GPX7,glutathione peroxidase 7,Complete_Stress_&_Toxicity
MT3,metallothionein 3,Complete_Stress_&_Toxicity
PRDX5,peroxiredoxin 5,Complete_Stress_&_Toxicity
RAD9A,RAD9 homolog A (S. pombe),Complete_Stress_&_Toxicity
RARA,retinoic acid receptor  alpha,Complete_Stress_&_Toxicity
SMC1A,structural maintenance ofchromosomes 1A,Complete_Stress_&_Toxicity
TP53,tumor protein p53,Complete_Stress_&_Toxicity
TXNRD2,thioredoxin reductase 2,Complete_Stress_&_Toxicity
UNG,uracil-DNA glycosylase,Complete_Stress_&_Toxicity
VCP,valosin-containing protein,Complete_Stress_&_Toxicity
XRCC1,X-ray repair complementing defective repair in Chinese hamster cells 1,Complete_Stress_&_Toxicity
ELANE,elastase  neutrophil expressed,Cytokine_Production
INHBA,inhibin  beta A,Cytokine_Production
IRF1,interferon regulatory factor 1,Cytokine_Production
NOD1,nucleotide-binding oligomerization domain containing 1,Cytokine_Production
TRAF2,TNF receptor-associated factor 2,Cytokine_Production
APEX1,APEX nuclease (multifunctional DNA repair enzyme) 1,DNA_Repair
BRCA1,breast cancer 1  early onset,DNA_Repair
FEN1,flap structure-specific endonuclease 1,DNA_Repair
UNG,uracil-DNA glycosylase,DNA_Repair
XRCC1,X-ray repair complementing defective repair in Chinese hamster cells 1,DNA_Repair
CREBBP,CREB binding protein,Human_Notch_Signaling_Pathway
CTBP1,C-terminal binding protein 1,Human_Notch_Signaling_Pathway
ERBB2,v-erb-b2 erythroblastic leukemia viral oncogene homolog 2  neuro/glioblastoma derived oncogene homolog (avian),Human_Notch_Signaling_Pathway
HES1,hairy and enhancer of split 1  (Drosophila),Human_Notch_Signaling_Pathway
NCOR2,nuclear receptor co-repressor 2,Human_Notch_Signaling_Pathway
NUMBL,numb homolog (Drosophila)-like,Human_Notch_Signaling_Pathway
PSENEN,presenilin enhancer 2 homolog (C. elegans),Human_Notch_Signaling_Pathway
CD276,CD276 molecule,Human_T-Cell_B-Cell_Activation_Methylation
SOCS1,suppressor of cytokine signaling 1,Human_T-Cell_B-Cell_Activation_Methylation
EOMES,eomesodermin homolog (Xenopus laevis),Human_T_Helper_Cell_Differentiation
NR4A3,nuclear receptor subfamily 4  group A  member 3,Human_T_Helper_Cell_Differentiation
BRCA1,breast cancer 1  early onset,Human_Tumor_Suppressor_Genes
MGMT,O-6-methylguanine-DNA methyltransferase,Human_Tumor_Suppressor_Genes
NEUROG1,neurogenin 1,Human_Tumor_Suppressor_Genes
RASSF1,Ras association (RalGDS/AF-6) domain family member 1,Human_Tumor_Suppressor_Genes
SOCS1,suppressor of cytokine signaling 1,Human_Tumor_Suppressor_Genes
TP73,tumor protein p73,Human_Tumor_Suppressor_Genes
CXCL5,chemokine (C-X-C motif) ligand 5,Inflammatory_Response_&_Autoimmunity
IL17RA,interleukin 17 receptor A,Inflammatory_Response_&_Autoimmunity
IL4R,interleukin 4 receptor,Inflammatory_Response_&_Autoimmunity
IL6ST,interleukin 6 signal transducer (gp130  oncostatin M receptor),Inflammatory_Response_&_Autoimmunity
ASXL2,additional sex combs like 2 (Drosophila),Polycomb_&_Trithorax_Complexes
CBX2,chromobox homolog 2 (Pc class homolog  Drosophila),Polycomb_&_Trithorax_Complexes
CTBP2,C-terminal binding protein 2,Polycomb_&_Trithorax_Complexes
PCGF1,polycomb group ring finger 1,Polycomb_&_Trithorax_Complexes
PCGF2,polycomb group ring finger 2,Polycomb_&_Trithorax_Complexes
PCGF3,polycomb group ring finger 3,Polycomb_&_Trithorax_Complexes
PHF1,PHD finger protein 1,Polycomb_&_Trithorax_Complexes
PHF19,PHD finger protein 19,Polycomb_&_Trithorax_Complexes
NEUROD1,neurogenic differentiation 1,Stem_Cell_Transcription_Factors
OLIG2,oligodendrocyte lineage transcription factor 2,Stem_Cell_Transcription_Factors
STAT3,signal transducer and activator of transcription 3 (acute-phase response factor),Stem_Cell_Transcription_Factors
BMP2,bone morphogenetic protein 2,TGF_f_BMP_Signaling_Pathway
CREBBP,CREB binding protein,TGF_f_BMP_Signaling_Pathway
TGFB3,transforming growth factor  beta 3,TGF_f_BMP_Signaling_Pathway
IRAK1,interleukin-1 receptor-associated kinase 1,Toll-Like_Receptor_Signaling_Pathway
IRF1,interferon regulatory factor 1,Toll-Like_Receptor_Signaling_Pathway
TLR5,toll-like receptor 5,Toll-Like_Receptor_Signaling_Pathway
TOLLIP,toll interacting protein,Toll-Like_Receptor_Signaling_Pathway
CTBP1,C-terminal binding protein 1,WNT_Signaling_Pathway
LEF1,lymphoid enhancer-binding factor 1,WNT_Signaling_Pathway
SOX17,SRY (sex determining region Y)-box 17,WNT_Signaling_Pathway
WNT5A,wingless-type MMTV integration site family  member 5A,WNT_Signaling_Pathway
