"","DATA_INDEX","CHROMOSOME","DATA_START","DATA_END","Peaks","FEATURE_TRACK","FEATURE_STRAND","FEATURE_START","FEATURE_END","SHORTEST_DISTANCE_FROM_FEATURE_TO_DATA_POINT","CENTER_TO_CENTER_DISTANCE_FROM_FEATURE_TO_DATA_POINT","ncbi_gene_id","Name","Region","color","OTHER","description","accession","synonyms"
"785",18551,"chr1",84769772,84770245,2.6547,"transcription_start_site","+",84768333,84768333,1439,1680,148418,"SAMD13","chr1:84768333-84768333",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:84768333-84768333&pix=800&Submit=submit","sterile alpha motif domain containing 13","NM_001134664","RP11-376N17.1"
"15093",73520,"chr8",39692828,39694290,2.6799,"transcription_start_site","-",39695728,39695728,1438,2168,2515,"ADAM2","chr8:39695728-39695728",9900,"PH30,PH-30b,CRYN2,FTNB,CT15,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr8:39695728-39695728&pix=800&Submit=submit","ADAM metallopeptidase domain 2","BC034957","CRYN1"
"14972",73480,"chr8",28749657,28750853,2.2746,"transcription_start_site","+",28748224,28748224,1433,2030,79618,"HMBOX1","chr8:28748224-28748224",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr8:28748224-28748224&pix=800&Submit=submit,HNF1LA,PBHNF","homeobox containing 1","NM_024567","FLJ21616"
"3827",69264,"chr2",183944718,183944865,2.979,"transcription_start_site","+",183943286,183943286,1432,1520,142679,"DUSP19","chr2:183943286-183943286",9900,"SKRP1,TS-DSP1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr2:183943286-183943286&pix=800&Submit=submit,MGC138210,LMWDSP3","dual specificity phosphatase 19","NM_001142314","DUSP17"
"27730",78419,"chr21",22173289,22173996,2.5034,"transcription_start_site","-",22175426,22175426,1430,1784,387486,"C21orf131","chr21:22175426-22175426",9900,"PRED14,FLJ37539,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr21:22175426-22175426&pix=800&Submit=submit","chromosome 21 open reading frame 131","NR_024090","DKFZp686B23275"
"21144",75846,"chr12",11137436,11138082,3.2298,"transcription_start_site","-",11139511,11139511,1429,1752,259296,"TAS2R50","chr12:11139511-11139511",9900,"TAS2R51,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr12:11139511-11139511&pix=800&Submit=submit,T2R51,T2R50","taste receptor, type 2, member 50","NM_176890","MGC138305"
"28904",78852,"chrX",43815007,43816480,2.904,"transcription_start_site","-",43817907,43817907,1427,2164,4693,"NDP","chrX:43817907-43817907",9900,"FEVR,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:43817907-43817907&pix=800&Submit=submit,ND","Norrie disease (pseudoglioma)","BC029901","EVR2"
"21406",75948,"chr12",22087052,22088202,3.6597,"transcription_start_site","-",22089628,22089628,1426,2000,10060,"ABCC9","chr12:22089628-22089628",9900,"FLJ36852,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr12:22089628-22089628&pix=800&Submit=submit,SUR2,CMD1O","ATP-binding cassette, sub-family C (CFTR/MRP), member 9","NM_020297","ABC37"
"25918",77661,"chr17",56490347,56491709,2.5536,"transcription_start_site","-",56493135,56493135,1426,2108,54894,"RNF43","chr17:56493135-56493135",9900,"FLJ77466,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:56493135-56493135&pix=800&Submit=submit,RNF124,FLJ99338,DKFZp781H0392,URCC,FLJ20315,MGC125630","ring finger protein 43","BC109028","DKFZp781H02126"
"1452",68358,"chr1",119680280,119681853,3.3684,"transcription_start_site","-",119683278,119683278,1425,2208,10352,"WARS2","chr1:119683278-119683278",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:119683278-119683278&pix=800&Submit=submit","tryptophanyl tRNA synthetase 2, mitochondrial","BC044575","TrpRS"
"14294",73211,"chr7",112577938,112578499,3.7179,"transcription_start_site","-",112579924,112579924,1425,1704,154743,"C7orf60","chr7:112579924-112579924",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr7:112579924-112579924&pix=800&Submit=submit","chromosome 7 open reading frame 60","BC114615","FLJ31818"
"1819",68507,"chr1",173960489,173960740,2.2727,"transcription_start_site","-",173962164,173962164,1424,1552,149041,"RC3H1","chr1:173962164-173962164",9900,"ROQUIN,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:173962164-173962164&pix=800&Submit=submit,RNF198","ring finger and CCCH-type zinc finger domains 1","BC136784","KIAA2025"
"11392",72105,"chr6",29322296,29322633,3.3169,"transcription_start_site","-",29324054,29324054,1421,1590,81696,"OR5V1","chr6:29324054-29324054",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr6:29324054-29324054&pix=800&Submit=submit,hs6M1-21","olfactory receptor, family 5, subfamily V, member 1","NM_030876","6M1-21"
"13137",72777,"chr6",154609201,154609469,2.3876,"transcription_start_site","-",154610890,154610890,1421,1552,26034,"IPCEF1","chr6:154610890-154610890",9900,"PIP3-E,RP3-402L9.2,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr6:154610890-154610890&pix=800&Submit=submit","interaction protein for cytohesin exchange factors 1","BC143629","KIAA0403"
"21954",40067,"chr12",69203391,69203831,2.5251,"transcription_start_site","+",69201970,69201970,1421,1648,4193,"MDM2","chr12:69201970-69201970",9900,"MGC5370,hdm2,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr12:69201970-69201970&pix=800&Submit=submit,MGC71221","Mdm2 p53 binding protein homolog (mouse)","NM_001145339","HDMX"
"2556",19151,"chr2",18769002,18769380,2.0967,"transcription_start_site","-",18770799,18770799,1419,1608,93034,"NT5C1B","chr2:18770799-18770799",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr2:18770799-18770799&pix=800&Submit=submit,MGC26640,CN1B,CN-IB","5'-nucleotidase, cytosolic IB","BC136387","AIRP"
"14638",73358,"chr8",7341391,7342493,2.8618,"transcription_start_site","-",7343909,7343909,1416,1967,503841,"DEFB106B","chr8:7343909-7343909",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr8:7343909-7343909&pix=800&Submit=submit","defensin, beta 106B","NM_001040704","-"
"14639",73358,"chr8",7341391,7342493,2.8618,"transcription_start_site","-",7343909,7343909,1416,1967,245909,"DEFB106A","chr8:7343909-7343909",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr8:7343909-7343909&pix=800&Submit=submit,MGC118938,MGC133011,MGC133012,MGC118941,MGC118940,DEFB-6,DEFB106,MGC118939","defensin, beta 106A","NM_152251","BD-6"
"19511",75248,"chr11",56229316,56229461,2.2578,"transcription_start_site","-",56230877,56230877,1416,1488,390162,"OR5M9","chr11:56230877-56230877",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr11:56230877-56230877&pix=800&Submit=submit","olfactory receptor, family 5, subfamily M, member 9","NM_001004743","OR11-190"
"26390",77863,"chr18",28739830,28741403,4.2718,"transcription_start_site","-",28742819,28742819,1416,2204,1823,"DSC1","chr18:28742819-28742819",9900,"DG2/DG3,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr18:28742819-28742819&pix=800&Submit=submit","desmocollin 1","NM_004948","CDHF1"
"14314",73218,"chr7",115668910,115669383,2.8144,"transcription_start_site","-",115670798,115670798,1415,1648,22797,"TFEC","chr7:115670798-115670798",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr7:115670798-115670798&pix=800&Submit=submit,bHLHe34,TFECL","transcription factor EC","NM_001018058","TCFEC"
"615",68056,"chr1",70669712,70669846,2.3455,"transcription_start_site","-",70671259,70671259,1413,1480,55631,"LRRC40","chr1:70671259-70671259",9900,"dJ677H15.1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:70671259-70671259&pix=800&Submit=submit,RP4-677H15.1","leucine rich repeat containing 40","BC008586","FLJ20331"
"20348",75563,"chr11",107310882,107312345,2.982,"transcription_start_site","-",107313757,107313757,1412,2144,143884,"CWF19L2","chr11:107313757-107313757",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr11:107313757-107313757&pix=800&Submit=submit","CWF19-like 2, cell cycle control (S. pombe)","BC110439","FLJ32343"
"2290",68672,"chr1",231378324,231378807,2.5132,"transcription_start_site","+",231376918,231376918,1406,1648,8443,"GNPAT","chr1:231376918-231376918",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:231376918-231376918&pix=800&Submit=submit,DAPAT,DHAPAT","glyceronephosphate O-acyltransferase","NM_014236","DAP-AT"
"20643",75664,"chr11",123907016,123908308,2.2852,"transcription_start_site","-",123909708,123909708,1400,2048,390265,"OR10G7","chr11:123909708-123909708",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr11:123909708-123909708&pix=800&Submit=submit","olfactory receptor, family 10, subfamily G, member 7","NM_001004463","OR11-283"
"14947",73470,"chr8",26720809,26721094,2.2941,"transcription_start_site","-",26722493,26722493,1399,1540,148,"ADRA1A","chr8:26722493-26722493",9900,"ADRA1L1,ALPHA1AAR,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr8:26722493-26722493&pix=800&Submit=submit","adrenergic, alpha-1A-, receptor","BC095512","ADRA1C"
"12977",22756,"chr6",143770108,143770446,2.478,"transcription_start_site","-",143771841,143771841,1395,1568,134637,"ADAT2","chr6:143771841-143771841",9900,"DKFZp686L1118,dJ20N2.1,TAD2,FLJ44213,dJ20N2,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr6:143771841-143771841&pix=800&Submit=submit","adenosine deaminase, tRNA-specific 2, TAD2 homolog (S. cerevisiae)","NM_182503","DEADC1"
"24750",77214,"chr15",58304669,58304840,2.047,"transcription_start_site","-",58306235,58306235,1395,1484,8854,"ALDH1A2","chr15:58306235-58306235",9900,"RALDH2-T,RALDH2,RALDH(II),http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr15:58306235-58306235&pix=800&Submit=submit","aldehyde dehydrogenase 1 family, member A2","NM_170697","MGC26444"
"7887",70855,"chr4",99062741,99062997,2.3248,"transcription_start_site","-",99064391,99064391,1394,1520,285555,"C4orf37","chr4:99064391-99064391",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr4:99064391-99064391&pix=800&Submit=submit","chromosome 4 open reading frame 37","NM_174952","MGC46496"
"4492",69548,"chr3",15898235,15899519,2.1108,"transcription_start_site","-",15900912,15900912,1393,2035,23243,"ANKRD28","chr3:15900912-15900912",9900,"PITK,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr3:15900912-15900912&pix=800&Submit=submit","ankyrin repeat domain 28","BC166612","KIAA0379"
"11829",72289,"chr6",62993715,62994707,4.0011,"transcription_start_site","-",62996100,62996100,1393,1888,202559,"KHDRBS2","chr6:62996100-62996100",9900,"MGC26664,SLM1,SLM-1,bA535F17.1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr6:62996100-62996100&pix=800&Submit=submit","KH domain containing, RNA binding, signal transduction associated 2","NM_152688","FLJ38664"
"11750",72253,"chr6",53518027,53518704,2.8033,"transcription_start_site","-",53520096,53520096,1392,1728,401265,"KLHL31","chr6:53520096-53520096",9900,"KBTBD1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr6:53520096-53520096&pix=800&Submit=submit,bA345L23.2,KLHL","kelch-like 31 (Drosophila)","BC137267","BKLHD6"
"3943",69323,"chr2",197789004,197790063,3.5882,"transcription_start_site","-",197791454,197791454,1391,1920,80055,"PGAP1","chr2:197791454-197791454",9900,"ISPD3024,FLJ42774,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr2:197791454-197791454&pix=800&Submit=submit","post-GPI attachment to proteins 1","NM_024989","Bst1"
"5497",69921,"chr3",112691765,112692344,2.8175,"transcription_start_site","-",112693735,112693735,1391,1680,131450,"CD200R1","chr3:112693735-112693735",9900,"HCRTR2,MOX2R,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr3:112693735-112693735&pix=800&Submit=submit,OX2R","CD200 receptor 1","BC069661","CD200R"
"24818",77243,"chr15",66638055,66638290,2.1386,"transcription_start_site","-",66639680,66639680,1390,1508,692149,"SCARNA14","chr15:66639680-66639680",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr15:66639680-66639680&pix=800&Submit=submit","small Cajal body-specific RNA 14","NR_004388","U100"
"9304",71374,"chr5",38260058,38260745,3.0279,"transcription_start_site","+",38258669,38258669,1389,1732,133584,"EGFLAM","chr5:38258669-38258669",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr5:38258669-38258669&pix=800&Submit=submit,FLJ39155,AGRNL","EGF-like, fibronectin type III and laminin G domains","BC063822","AGRINL"
"862",68151,"chr1",89431805,89433017,3.0252,"transcription_start_site","-",89434405,89434405,1388,1992,56267,"CCBL2","chr1:89434405-89434405",9900,"RP4-531M19.2,KATIII,DKFZp667D0223,MGC9398,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:89434405-89434405&pix=800&Submit=submit,KAT3","cysteine conjugate-beta lyase 2","BC000819","DKFZp547N1117"
