"","DATA_INDEX","CHROMOSOME","DATA_START","DATA_END","Peaks","FEATURE_TRACK","FEATURE_STRAND","FEATURE_START","FEATURE_END","SHORTEST_DISTANCE_FROM_FEATURE_TO_DATA_POINT","CENTER_TO_CENTER_DISTANCE_FROM_FEATURE_TO_DATA_POINT","ACC","ncbi_gene_id","Name","Region","color","OTHER","description","ID","accession","synonyms","X"
"13479","20969","chrX","55288660",55290326,2.7816,"transcription_start_site","-",55291149,55291149,823,1652,"",139793,"PAGE3","chrX:55291149-55291149","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:55291149-55291149&pix=800&Submit=submit,GAGEC1,GAGED1,PAGE-3","P antigen family, member 3 (prostate associated)","","BC140001","CT16.6",""
"779","10979","chr1","89590001",89590959,2.6003,"transcription_start_site","-",89591779,89591779,820,1296,"",2634,"GBP2","chr1:89591779-89591779","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:89591779-89591779&pix=800&Submit=submit","guanylate binding protein 2, interferon-inducible","","BC073163","-",""
"846","344","chr1","92762841",92763777,3.5659,"transcription_start_site","-",92764533,92764533,756,1224,"",11146,"GLMN","chr1:92764533-92764533","009900","FAP68,VMGLOM,GVM,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:92764533-92764533&pix=800&Submit=submit,FAP48,GLML,FKBPAP","glomulin, FKBP associated protein","","BC001257","FAP",""
"1019","11070","chr1","102459558",102461800,3.5436,"transcription_start_site","-",102462548,102462548,748,1864,"",118427,"OLFM3","chr1:102462548-102462548","009900","NOELIN3_V4,NOELIN3_V3,NOELIN3_V2,NOELIN3,NOELIN3_V1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:102462548-102462548&pix=800&Submit=submit,NOELIN3_V6,OPTIMEDIN,NOELIN3_V5","olfactomedin 3","","BC022531","NOE3",""
"14280","21264","chrX","131570704",131572949,2.8237,"transcription_start_site","-",131573681,131573681,732,1856,"",55796,"MBNL3","chrX:131573681-131573681","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:131573681-131573681&pix=800&Submit=submit,MBLX39,FLJ97142,FLJ11316,MBXL,MBLX","muscleblind-like 3 (Drosophila)","","BC074775","CHCR",""
"1569","11284","chr1","169394916",169395955,2.5153,"transcription_start_site","-",169396670,169396670,715,1248,"",57821,"C1orf114","chr1:169396670-169396670","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:169396670-169396670&pix=800&Submit=submit,RP1-206D15.2","chromosome 1 open reading frame 114","","NM_021179","FLJ25846",""
"353","10806","chr1","52608752",52609029,2.994,"transcription_start_site","+",52608045,52608045,707,844,"",9372,"ZFYVE9","chr1:52608045-52608045","009900","NSP,SARA,SMADIP,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:52608045-52608045&pix=800&Submit=submit","zinc finger, FYVE domain containing 9","","NM_007323","MADHIP",""
"13133","20820","chrX","15618207",15618374,2.0579,"transcription_start_site","-",15619052,15619052,678,762,"",59272,"ACE2","chrX:15619052-15619052","009900","DKFZp434A014,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:15619052-15619052&pix=800&Submit=submit","angiotensin I converting enzyme (peptidyl-dipeptidase A) 2","","BC039902","ACEH",""
"811","10994","chr1","91486181",91486359,2.2051,"transcription_start_site","-",91487030,91487030,671,760,"",84146,"ZNF644","chr1:91487030-91487030","009900","KIAA1221,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:91487030-91487030&pix=800&Submit=submit,Zep-2,MGC70410,MGC60165","zinc finger protein 644","","NM_016620","BM-005",""
"13229","20856","chrX","24022934",24024184,2.5855,"transcription_start_site","-",24024810,24024810,626,1250,"",80311,"KLHL15","chrX:24024810-24024810","009900","MGC126148,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:24024810-24024810&pix=800&Submit=submit,MGC126149","kelch-like 15 (Drosophila)","","BC109058","KIAA1677",""
"1007","11066","chr1","101359046",101359788,2.6083,"transcription_start_site","-",101360380,101360380,592,960,"",2135,"EXTL2","chr1:101360380-101360380","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:101360380-101360380&pix=800&Submit=submit","exostoses (multiple)-like 2","","BC036015","EXTR2",""
"578","10893","chr1","72564515",72566069,3.5424,"transcription_start_site","-",72566614,72566614,545,1320,"",257194,"NEGR1","chr1:72566614-72566614","009900","Ntra,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:72566614-72566614&pix=800&Submit=submit,KILON,IGLON4,MGC46680","neuronal growth regulator 1","","BC036771","DMML2433",""
"14278","21263","chrX","131260922",131261477,2.4681,"transcription_start_site","-",131262017,131262017,540,816,"",90167,"FRMD7","chrX:131262017-131262017","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:131262017-131262017&pix=800&Submit=submit,NYS1,NYS","FERM domain containing 7","","BC114371","FLJ43346",""
"402","10824","chr1","57756067",57756212,2.3694,"transcription_start_site","-",57756738,57756738,526,596,"",1600,"DAB1","chr1:57756738-57756738","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:57756738-57756738&pix=800&Submit=submit","disabled homolog 1 (Drosophila)","","BC067445","-",""
"13412","20941","chrX","48368695",48369135,2.3518,"transcription_start_site","+",48368171,48368171,524,744,"",64840,"PORCN","chrX:48368171-48368171","009900","MGC29687,PPN,por,MG61,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:48368171-48368171&pix=800&Submit=submit,FODH,PORC","porcupine homolog (Drosophila)","","NM_203474","DHOF",""
"1649","11314","chr1","178837976",178839634,3.8492,"transcription_start_site","-",178840157,178840157,523,1344,"",9068,"ANGPTL1","chr1:178840157-178840157","009900","KIAA0351,dJ595C2.2,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:178840157-178840157&pix=800&Submit=submit,AngY,UNQ162,ARP1,ANGPT3","angiopoietin-like 1","","BC050640","ANG3",""
"14153","21219","chrX","117106072",117106335,2.8992,"transcription_start_site","-",117106853,117106853,518,648,"",90293,"KLHL13","chrX:117106853-117106853","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:117106853-117106853&pix=800&Submit=submit,MGC74791,KIAA1309,FLJ10262","kelch-like 13 (Drosophila)","","BC064576","BKLHD2",""
"14276","21261","chrX","130963511",130964157,3.5549,"transcription_start_site","-",130964671,130964671,514,832,"",286467,"LOC286467","chrX:130964671-130964671","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:130964671-130964671&pix=800&Submit=submit","hypothetical LOC286467","","NR_026975","-",""
"1716","11338","chr1","186414948",186415123,2.989,"transcription_start_site","-",186415614,186415614,491,576,"",5132,"PDC","chr1:186415614-186415614","009900","PHD,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:186415614-186415614&pix=800&Submit=submit,PhLP,PhLOP","phosducin","","BC153182","MEKA",""
"13343","20913","chrX","37639694",37640680,4.4955,"transcription_start_site","+",37639269,37639269,425,920,"",1536,"CYBB","chrX:37639269-37639269","009900","NOX2,GP91-1,GP91PHOX,p91-PHOX,GP91-PHOX,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:37639269-37639269&pix=800&Submit=submit","cytochrome b-245, beta polypeptide","","NM_000397","CGD",""
"436","10839","chr1","64015069",64015524,3.0039,"transcription_start_site","+",64014650,64014650,419,648,"",79469,"DLEU2L","chr1:64014650-64014650","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:64014650-64014650&pix=800&Submit=submit","deleted in lymphocytic leukemia 2-like","","NR_002771","BCMSUNL",""
"1461","11241","chr1","158655654",158655908,2.1343,"transcription_start_site","-",158656307,158656307,399,528,"",6708,"SPTA1","chr1:158656307-158656307","009900","HS3,SPH3,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:158656307-158656307&pix=800&Submit=submit,HPP,SPTA","spectrin, alpha, erythrocytic 1 (elliptocytosis 2)","","BC172497","EL2",""
"14184","21233","chrX","119738066",119738211,2.8577,"transcription_start_site","+",119737743,119737743,323,392,"",28985,"MCTS1","chrX:119737743-119737743","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:119737743-119737743&pix=800&Submit=submit,MCT1,MCT-1","malignant T cell amplified sequence 1","","NM_014060","FLJ39637",""
"13037","20791","chrX","11778053",11779534,2.9844,"transcription_start_site","+",11777760,11777760,293,1034,"",10943,"MSL3","chrX:11777760-11777760","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:11777760-11777760&pix=800&Submit=submit,MSL3L1","male-specific lethal 3 homolog (Drosophila)","","NM_006800","DKFZp586J1822",""
"1819","11384","chr1","199997044",199997721,2.8468,"transcription_start_site","+",199996769,199996769,275,608,"",2494,"NR5A2","chr1:199996769-199996769","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:199996769-199996769&pix=800&Submit=submit,FTZ-F1beta,CPF,hB1F-2,B1F2,LRH1,FTF,FTZ-F1,LRH-1,hB1F","nuclear receptor subfamily 5, group A, member 2","","NM_003822","B1F",""
"25","10664","chr1","7912118",7912871,2.7548,"transcription_start_site","-",7913104,7913104,233,609,"",10911,"UTS2","chr1:7913104-7913104","009900","UII,UCN2,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:7913104-7913104&pix=800&Submit=submit,U-II","urotensin 2","","NM_006786","PRO1068",""
"14350","21295","chrX","138613018",138614244,2.9656,"transcription_start_site","+",138612894,138612894,124,736,"",2158,"F9","chrX:138612894-138612894","009900","HEMB,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:138612894-138612894&pix=800&Submit=submit,MGC129641,PTC,MGC129642","coagulation factor IX","","NM_000133","FIX",""
"769","10974","chr1","89487955",89488312,2.3361,"transcription_start_site","-",89488434,89488434,122,304,"",2635,"GBP3","chr1:89488434-89488434","009900","DKFZp686L15228,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:89488434-89488434&pix=800&Submit=submit,FLJ10961","guanylate binding protein 3","","BC140837","DKFZp686E0974",""
"13052","20796","chrX","13337795",13338138,2.8712,"transcription_start_site","-",13338252,13338252,114,286,"",92552,"ATXN3L","chrX:13338252-13338252","009900","MJDL,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:13338252-13338252&pix=800&Submit=submit,MGC168807,MGC168806","ataxin 3-like","","BC137187","FLJ59638",""
"14543","21363","chrY","8685179",8685331,2.1074,"transcription_start_site","-",8685423,8685423,92,168,"",83866,"TTTY11","chrY:8685423-8685423","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrY:8685423-8685423&pix=800&Submit=submit,TTY11","testis-specific transcript, Y-linked 11 (non-protein coding)","","NR_001548","NCRNA00134",""
"501","10868","chr1","67633847",67634120,2.2452,"transcription_start_site","+",67633802,67633802,45,184,"",149233,"IL23R","chr1:67633802-67633802","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:67633802-67633802&pix=800&Submit=submit","interleukin 23 receptor","","BC166698","-",""
"226","10756","chr1","41626821",41627086,2.2711,"transcription_start_site","-",41627046,41627046,0,96,"",22955,"SCMH1","chr1:41627046-41627046","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:41627046-41627046&pix=800&Submit=submit","sex comb on midleg homolog 1 (Drosophila)","","NM_001031694","Scml3",""
"674","10929","chr1","79115376",79116538,3.7279,"transcription_start_site","+",79115476,79115476,0,480,"",10561,"IFI44","chr1:79115476-79115476","009900","p44,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:79115476-79115476&pix=800&Submit=submit","interferon-induced protein 44","","NM_006417","MTAP44",""
"785","10981","chr1","89637419",89638872,2.7429,"transcription_start_site","-",89637619,89637619,0,-528,"",388646,"GBP7","chr1:89637619-89637619","009900","GBP4L,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:89637619-89637619&pix=800&Submit=submit","guanylate binding protein 7","","BC157015","FLJ38822",""
"859","11010","chr1","93305866",93306519,2.3499,"transcription_start_site","+",93306275,93306275,0,-80,"",26782,"SNORA66","chr1:93306275-93306275","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:93306275-93306275&pix=800&Submit=submit,U66","small nucleolar RNA, H/ACA box 66","","NR_002444","RNU66",""
"893","11024","chr1","94694600",94697407,3.7405,"transcription_start_site","-",94697199,94697199,0,1200,"",9411,"ARHGAP29","chr1:94697199-94697199","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:94697199-94697199&pix=800&Submit=submit,RP11-255E17.1","Rho GTPase activating protein 29","","BC093741","PARG1",""
"1152","11110","chr1","111680090",111680853,2.5858,"transcription_start_site","-",111680202,111680202,0,-272,"",128338,"TMEM77","chr1:111680202-111680202","009900","PRO180,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:111680202-111680202&pix=800&Submit=submit,TMEM77,WWFQ154,RP5-1180E21.1","DNA-damage regulated autophagy modulator 2","","BC047025","MGC54289",""
"1342","11188","chr1","150737905",150738390,2.5616,"transcription_start_site","-",150738234,150738234,0,96,"",1520,"CTSS","chr1:150738234-150738234","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:150738234-150738234&pix=800&Submit=submit","cathepsin S","","BC002642","MGC3886",""
"1356","11194","chr1","152287695",152289550,3.8,"transcription_start_site","-",152287932,152287932,0,-688,"",2312,"FLG","chr1:152287932-152287932","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:152287932-152287932&pix=800&Submit=submit","filaggrin","","GU014833","ATOD2",""
"13044","20793","chrX","12924713",12925489,2.3131,"transcription_start_site","+",12924738,12924738,0,363,"",51311,"TLR8","chrX:12924738-12924738","009900","MGC119600,MGC119599,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:12924738-12924738&pix=800&Submit=submit","toll-like receptor 8","","NM_138636","CD288",""
"13115","20814","chrX","15332193",15334228,2.681,"transcription_start_site","-",15332669,15332669,0,-541,"",140456,"ASB11","chrX:15332669-15332669","009900","MGC119168,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:15332669-15332669&pix=800&Submit=submit,MGC119169","ankyrin repeat and SOCS box-containing 11","","NM_001012428","DKFZp779E2460",""
"13170","20836","chrX","19987556",19988954,2.5579,"transcription_start_site","-",19988382,19988382,0,126,"",256643,"CXorf23","chrX:19988382-19988382","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:19988382-19988382&pix=800&Submit=submit","chromosome X open reading frame 23","","NM_198279","-",""
"14074","21181","chrX","109466090",109468345,2.8679,"transcription_start_site","-",109468288,109468288,0,1072,"",692226,"SNORD96B","chrX:109468288-109468288","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:109468288-109468288&pix=800&Submit=submit","small nucleolar RNA, C/D box 96B","","NR_004379","U96b",""
"14091","21189","chrX","110505482",110508321,2.4385,"transcription_start_site","-",110507181,110507181,0,288,"",827,"CAPN6","chrX:110507181-110507181","009900","CAPNX,DJ914P14.1,CalpM,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:110507181-110507181&pix=800&Submit=submit","calpain 6","","BC000730","CANPX",""
"14206","21240","chrX","124096913",124097668,2.5551,"transcription_start_site","-",124097663,124097663,0,376,"",10178,"ODZ1","chrX:124097663-124097663","009900","TEN-M1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:124097663-124097663&pix=800&Submit=submit,TNM1,TNM","odz, odd Oz/ten-m homolog 1(Drosophila)","","BC140783","ODZ3",""
"14305","21272","chrX","133680610",133681975,2.2954,"transcription_start_site","-",133680660,133680660,0,-640,"",84848,"MGC16121","chrX:133680660-133680660","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:133680660-133680660&pix=800&Submit=submit","hypothetical protein MGC16121","","NR_024607","-",""
"14434","21324","chrX","147003025",147004178,3.1287,"transcription_start_site","-",147003676,147003676,0,80,"",100126270,"ASFMR1","chrX:147003676-147003676","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:147003676-147003676&pix=800&Submit=submit","antisense fragile X mental retardation protein","","NR_024499","FMR4",""
"14537","21361","chrY","6740829",6744236,3.1661,"transcription_start_site","-",6742029,6742029,0,-503,"",266,"AMELY","chrY:6742029-6742029","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrY:6742029-6742029&pix=800&Submit=submit,AMGY","amelogenin, Y-linked","","BC074976","AMGL",""
"14642","21387","chrY","21039789",21040160,2.5966,"transcription_start_site","-",21040114,21040114,0,140,"",55410,"NCRNA00185","chrY:21040114-21040114","009900","PRO2834,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrY:21040114-21040114&pix=800&Submit=submit","non-protein coding RNA 185","","NR_001544","CYorf14",""
"699","10943","chr1","84863588",84863719,2.5244,"transcription_start_site","-",84863576,84863576,-12,-72,"",391051,"UOX","chr1:84863576-84863576","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:84863576-84863576&pix=800&Submit=submit,URICASE","urate oxidase (pseudogene)","","NR_003927","UOXP",""
"339","10800","chr1","51887900",51888471,2.8087,"transcription_start_site","-",51887793,51887793,-107,-392,"",2060,"EPS15","chr1:51887793-51887793","009900","AF1P,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:51887793-51887793&pix=800&Submit=submit,MLLT5","epidermal growth factor receptor pathway substrate 15","","NM_001159969","AF-1P",""
"13487","20972","chrX","56764218",56764378,2.4765,"transcription_start_site","-",56764017,56764017,-201,-280,"",442454,"LOC442454","chrX:56764017-56764017","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:56764017-56764017&pix=800&Submit=submit","ubiquinol-cytochrome c reductase binding protein pseudogene","","NR_002308","LOC442454",""
"14578","21379","chrY","19882003",19882557,3.3448,"transcription_start_site","-",19881778,19881778,-225,-502,"",353515,"XKRY2","chrY:19881778-19881778","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrY:19881778-19881778&pix=800&Submit=submit","XK, Kell blood group complex subunit-related, Y-linked 2","","BC148772","XKRYP7",""
"14579","21379","chrY","19882003",19882557,3.3448,"transcription_start_site","-",19881778,19881778,-225,-502,"",9082,"XKRY","chrY:19881778-19881778","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrY:19881778-19881778&pix=800&Submit=submit","XK, Kell blood group complex subunit-related, Y-linked","","BC153173","XKRY1",""
"238","10760","chr1","42776995",42777678,2.5606,"transcription_start_site","-",42776764,42776764,-231,-572,"",22887,"FOXJ3","chr1:42776764-42776764","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:42776764-42776764&pix=800&Submit=submit,MGC176686","forkhead box J3","","BC160166","MGC165036",""
"14223","21246","chrX","127186614",127187719,3.6227,"transcription_start_site","-",127186377,127186377,-237,-792,"",139741,"ACTRT1","chrX:127186377-127186377","009900","HSD27,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:127186377-127186377&pix=800&Submit=submit,ARPT1,MGC26590,ARP-T1,ARIP1,KIAA0705","actin-related protein T1","","BC014597","AIP1",""
"347","10804","chr1","52499747",52499993,2.6273,"transcription_start_site","-",52499436,52499436,-311,-436,"",112970,"KTI12","chr1:52499436-52499436","009900","RP11-91A18.3,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:52499436-52499436&pix=800&Submit=submit,TOT4,SBBI81","KTI12 homolog,chromatin associated (S. cerevisiae)","","BC012173","MGC20419",""
"1469","11244","chr1","158688305",158688476,2.9667,"transcription_start_site","-",158687953,158687953,-352,-432,"",391114,"OR6K3","chr1:158687953-158687953","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:158687953-158687953&pix=800&Submit=submit","olfactory receptor, family 6, subfamily K, member 3","","NM_001005327","OR1-18",""
"13258","20872","chrX","27763499",27764561,3.3415,"transcription_start_site","+",27764925,27764925,-364,-894,"",347442,"DCAF8L2","chrX:27764925-27764925","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:27764925-27764925&pix=800&Submit=submit","DDB1 and CUL4 associated factor 8-like 2","","NM_001136533","WDR42C",""
