"","DATA_INDEX","CHROMOSOME","DATA_START","DATA_END","Peaks","FEATURE_TRACK","FEATURE_STRAND","FEATURE_START","FEATURE_END","SHORTEST_DISTANCE_FROM_FEATURE_TO_DATA_POINT","CENTER_TO_CENTER_DISTANCE_FROM_FEATURE_TO_DATA_POINT","ncbi_gene_id","Name","Region","color","OTHER","description","accession","synonyms"
"15259",5842,"chr8",120222093,120222349,2.2856,"transcription_start_site","+",120220609,120220609,1484,1616,114569,"MAL2","chr8:120220609-120220609",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr8:120220609-120220609&pix=800&Submit=submit","mal, T-cell differentiation protein 2","NM_052886","-"
"9072",3488,"chr5",1798298,1798463,2.1837,"transcription_start_site","-",1799946,1799946,1483,1565,64979,"MRPL36","chr5:1799946-1799946",9900,"RPMJ,MRP-L36,MGC104245,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr5:1799946-1799946&pix=800&Submit=submit,L36mt,PRPL36","mitochondrial ribosomal protein L36","BC020642","BRIP1"
"11784",4463,"chr6",106961209,106961365,2.6309,"transcription_start_site","+",106959729,106959729,1480,1560,202,"AIM1","chr6:106959729-106959729",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr6:106959729-106959729&pix=800&Submit=submit,ST4","absent in melanoma 1","NM_001624","CRYBG1"
"24071",9122,"chr14",93212456,93213459,3.5513,"transcription_start_site","-",93214936,93214936,1477,1976,5641,"LGMN","chr14:93214936-93214936",9900,"PRSC1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr14:93214936-93214936&pix=800&Submit=submit,LGMN1","legumain","BC003061","AEP"
"34619",13050,"chr22",17567374,17567946,2.8467,"transcription_start_site","+",17565904,17565904,1470,1756,23765,"IL17RA","chr22:17565904-17565904",9900,"IL17R,IL-17RA,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:17565904-17565904&pix=800&Submit=submit,hIL-17R,MGC10262,CDw217","interleukin 17 receptor A","BC011624","CD217"
"25874",9780,"chr16",3927872,3928652,2.7747,"transcription_start_site","-",3930121,3930121,1469,1859,1387,"CREBBP","chr16:3930121-3930121",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr16:3930121-3930121&pix=800&Submit=submit,RSTS,KAT3A","CREB binding protein","NM_004380","CBP"
"17677",6805,"chr10",91293711,91293845,2.0343,"transcription_start_site","-",91295313,91295313,1468,1536,387700,"SLC16A12","chr10:91295313-91295313",9900,"MCT12,DKFZp686E188,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr10:91295313-91295313&pix=800&Submit=submit","solute carrier family 16, member 12 (monocarboxylic acid transporter 12)","NM_213606","CJMG"
"25058",9488,"chr15",72412094,72412623,2.5848,"transcription_start_site","+",72410630,72410630,1464,1728,123228,"SENP8","chr15:72410630-72410630",9900,"NEDP1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr15:72410630-72410630&pix=800&Submit=submit,PRSC2","SUMO/sentrin specific peptidase family member 8","NM_145204","DEN1"
"10640",4034,"chr5",178288415,178290208,3.2157,"transcription_start_site","+",178286953,178286953,1462,2352,117608,"ZNF354B","chr5:178286953-178286953",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr5:178286953-178286953&pix=800&Submit=submit,MGC138316,KID2","zinc finger protein 354B","NM_058230","FLJ25008"
"17171",6608,"chr10",16857367,16857920,2.6943,"transcription_start_site","-",16859382,16859382,1462,1738,6251,"RSU1","chr10:16859382-16859382",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr10:16859382-16859382&pix=800&Submit=submit,RSP-1","Ras suppressor protein 1","BC008691","FLJ31034"
"33169",12471,"chr20",3714817,3715378,3.7389,"transcription_start_site","+",3713355,3713355,1462,1742,116835,"HSPA12B","chr20:3713355-3713355",9900,"FLJ32150,dJ1009E24.2,MGC131912,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr20:3713355-3713355&pix=800&Submit=submit","heat shock 70kD protein 12B","NM_052970","C20orf60"
"33678",12679,"chr20",44036794,44036941,2.4294,"transcription_start_site","+",44035333,44035333,1461,1532,55861,"DBNDD2","chr20:44035333-44035333",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr20:44035333-44035333&pix=800&Submit=submit,HSMNP1,CK1BP","dysbindin (dystrobrevin binding protein 1) domain containing 2","BC001105","C20orf35"
"26980",10215,"chr16",84180381,84180815,2.1767,"transcription_start_site","+",84178921,84178921,1460,1680,123872,"LRRC50","chr16:84178921-84178921",9900,"FLJ25330,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr16:84178921-84178921&pix=800&Submit=submit,ODA7","leucine rich repeat containing 50","BC024009","DKFZp434A119"
"223",90,"chr1",9968716,9968857,2.9252,"transcription_start_site","-",9970316,9970316,1459,1530,56998,"CTNNBIP1","chr1:9970316-9970316",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:9970316-9970316&pix=800&Submit=submit,MGC15093","catenin, beta interacting protein 1","NM_020248","ICAT"
"30934",11657,"chr19",10714578,10714817,2.2981,"transcription_start_site","+",10713120,10713120,1458,1578,57153,"SLC44A2","chr19:10713120-10713120",9900,"FLJ44586,DKFZp666A071,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:10713120-10713120&pix=800&Submit=submit,PP1292","solute carrier family 44, member 2","NM_001145056","CTL2"
"25728",9730,"chr16",2526602,2526751,2.4108,"transcription_start_site","+",2525146,2525146,1456,1530,57465,"TBC1D24","chr16:2525146-2525146",9900,"MGC102885,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr16:2525146-2525146&pix=800&Submit=submit","TBC1 domain family, member 24","NM_020705","KIAA1171"
"28659",10792,"chr17",41464339,41464810,2.7964,"transcription_start_site","-",41466266,41466266,1456,1688,100130581,"LOC100130581","chr17:41466266-41466266",9900,"FLJ41591,FLJ18727,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:41466266-41466266&pix=800&Submit=submit","hypothetical LOC100130581","NR_027413","DKFZp686H1819"
"31164",11759,"chr19",16832240,16832409,2.297,"transcription_start_site","+",16830786,16830786,1454,1538,284434,"NWD1","chr19:16830786-16830786",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:16830786-16830786&pix=800&Submit=submit","NACHT and WD repeat domain containing 1","NM_001007525","MGC134940"
"1459",559,"chr1",85154209,85154536,2.8226,"transcription_start_site","-",85155987,85155987,1451,1616,117178,"SSX2IP","chr1:85155987-85155987",9900,"FLJ10848,KIAA0923,MGC75026,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:85155987-85155987&pix=800&Submit=submit","synovial sarcoma, X breakpoint 2 interacting protein","BC064389","ADIP"
"37206",13926,"chrX",152734489,152734638,2.6361,"transcription_start_site","-",152736089,152736089,1451,1536,55559,"UCHL5IP","chrX:152736089-152736089",9900,"UIP1,UCHL5IP,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:152736089-152736089&pix=800&Submit=submit","HAUS augmin-like complex, subunit 7","BC008141","HSXQ28ORF"
"29873",11242,"chr18",5290610,5291843,3.3885,"transcription_start_site","-",5293292,5293292,1449,2065,7541,"ZFP161","chr18:5293292-5293292",9900,"ZF5,ZNF478,ZBTB14,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr18:5293292-5293292&pix=800&Submit=submit","zinc finger protein 161 homolog (mouse)","BC110519","MGC126126"
"27605",10418,"chr17",6900829,6901221,2.3672,"transcription_start_site","+",6899383,6899383,1446,1642,239,"ALOX12","chr17:6899383-6899383",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:6899383-6899383&pix=800&Submit=submit,12S-LOX,LOG12","arachidonate 12-lipoxygenase","NM_000697","12-LOX"
"35653",13426,"chrX",593075,593604,2.2361,"transcription_start_site","+",591630,591630,1445,1709,6473,"SHOX","chrX:591630-591630",9900,"SS,SHOXY,PHOG,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:591630-591630&pix=800&Submit=submit","short stature homeobox","BC148783","GCFX"
"2429",896,"chr1",161145386,161145817,2.749,"transcription_start_site","-",161147261,161147261,1444,1664,8703,"B4GALT3","chr1:161147261-161147261",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:161147261-161147261&pix=800&Submit=submit","UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3","BC000276","beta4Gal-T3"
"34410",12966,"chr21",43134322,43134493,2.4235,"transcription_start_site","-",43135935,43135935,1442,1528,150135,"C21orf129","chr21:43135935-43135935",9900,"PRED76,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr21:43135935-43135935&pix=800&Submit=submit","chromosome 21 open reading frame 129","NR_027272","FLJ32835"
"30861",11632,"chr19",9414215,9414354,2.5681,"transcription_start_site","-",9415795,9415795,1441,1511,374879,"ZNF699","chr19:9415795-9415795",9900,"hang,MGC129880,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:9415795-9415795&pix=800&Submit=submit,MGC129881","zinc finger protein 699","NM_198535","FLJ38144"
"10367",3927,"chr5",151053874,151054317,3.0279,"transcription_start_site","-",151055757,151055757,1440,1664,6678,"SPARC","chr5:151055757-151055757",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr5:151055757-151055757&pix=800&Submit=submit","secreted protein, acidic, cysteine-rich (osteonectin)","BC008011","ON"
"32891",12370,"chr19",56738083,56738220,2.449,"transcription_start_site","-",56739659,56739659,1439,1508,79149,"ZSCAN5A","chr19:56739659-56739659",9900,"ZSCAN5,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:56739659-56739659&pix=800&Submit=submit,ZNF495","zinc finger and SCAN domain containing 5A","NM_024303","MGC4161"
"19592",7504,"chr11",67251942,67252211,2.1736,"transcription_start_site","+",67250504,67250504,1438,1576,9049,"AIP","chr11:67250504-67250504",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr11:67250504-67250504&pix=800&Submit=submit,FKBP16,FKBP37,XAP2,SMTPHN","aryl hydrocarbon receptor interacting protein","NM_003977","ARA9"
"22395",8517,"chr12",133262022,133262469,2.3109,"transcription_start_site","-",133263903,133263903,1434,1656,5426,"POLE","chr12:133263903-133263903",9900,"FLJ21434,POLE1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr12:133263903-133263903&pix=800&Submit=submit","polymerase (DNA directed), epsilon","BC172436","DKFZp434F222"
"19128",7346,"chr11",61098423,61099080,3.4841,"transcription_start_site","-",61100513,61100513,1433,1760,1642,"DDB1","chr11:61100513-61100513",9900,"XPE,UV-DDB1,XPCE,XPE-BF,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr11:61100513-61100513&pix=800&Submit=submit,XAP1","damage-specific DNA binding protein 1, 127kDa","BC011686","DDBA"
"27081",10255,"chr16",88921766,88921923,2.0878,"transcription_start_site","-",88923355,88923355,1432,1512,2588,"GALNS","chr16:88923355-88923355",9900,"GALNAC6S,FLJ98217,GAS,MPS4A,FLJ42844,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr16:88923355-88923355&pix=800&Submit=submit","galactosamine (N-acetyl)-6-sulfate sulfatase","BC056151","FLJ17434"
"37328",13959,"chrX",153814844,153815209,2.5559,"transcription_start_site","+",153813417,153813417,1427,1616,1485,"CTAG1B","chrX:153813417-153813417",9900,"CTAG1,CTAG,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:153813417-153813417&pix=800&Submit=submit,NY-ESO-1,LAGE2B,ESO1,LAGE-2","cancer/testis antigen 1B","NM_001327","CT6.1"
"37329",13959,"chrX",153814844,153815209,2.5559,"transcription_start_site","+",153813417,153813417,1427,1616,246100,"CTAG1A","chrX:153813417-153813417",9900,"LAGE2A,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:153813417-153813417&pix=800&Submit=submit","cancer/testis antigen 1A","NM_139250","ESO1"
"22563",8578,"chr13",28022730,28022899,2.5504,"transcription_start_site","-",28024325,28024325,1426,1508,219402,"MTIF3","chr13:28024325-28024325",9900,"IF3mt,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr13:28024325-28024325&pix=800&Submit=submit","mitochondrial translational initiation factor 3","BC039599","FLJ33676"
"36020",13563,"chrX",44733847,44734319,2.0746,"transcription_start_site","+",44732422,44732422,1425,1660,7403,"KDM6A","chrX:44732422-44732422",9900,"UTX,MGC141941,bA386N14.2,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:44732422-44732422&pix=800&Submit=submit","lysine (K)-specific demethylase 6A","NM_021140","DKFZp686A03225"
"23573",8953,"chr14",54906196,54906725,2.3441,"transcription_start_site","-",54908148,54908148,1423,1688,10175,"CNIH","chr14:54908148-54908148",9900,"CNIL,MGC117156,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr14:54908148-54908148&pix=800&Submit=submit,TGAM77","cornichon homolog (Drosophila)","NM_005776","CNIH1"
"22029",8381,"chr12",110903897,110904645,2.9048,"transcription_start_site","-",110906064,110906064,1419,1792,51184,"GPN3","chr12:110906064-110906064",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr12:110906064-110906064&pix=800&Submit=submit,MGC14560,MGC32810","GPN-loop GTPase 3","BC008416","ATPBD1C"
"29191",10982,"chr17",62077127,62077492,3.0217,"transcription_start_site","+",62075710,62075710,1417,1600,92340,"C17orf72","chr17:62075710-62075710",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:62075710-62075710&pix=800&Submit=submit,FLJ11724","chromosome 17 open reading frame 72","NM_001164257","DKFZp761M2312"
"27856",10496,"chr17",8525021,8525180,2.1121,"transcription_start_site","-",8526595,8526595,1415,1495,4628,"MYH10","chr17:8526595-8526595",9900,"NMMHCB,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:8526595-8526595&pix=800&Submit=submit,MGC134914","myosin, heavy chain 10, non-muscle","BC117690","MGC134913"
"37203",13924,"chrX",152611143,152612388,3.74,"transcription_start_site","+",152609734,152609734,1409,2032,10838,"ZNF275","chrX:152609734-152609734",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:152609734-152609734&pix=800&Submit=submit","zinc finger protein 275","BC136634","-"
"26781",10125,"chr16",68404297,68404754,2.6478,"transcription_start_site","-",68406161,68406161,1407,1632,55512,"SMPD3","chr16:68406161-68406161",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr16:68406161-68406161&pix=800&Submit=submit,MGC138443,NSMASE2","sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II)","BC112238","FLJ22593"
"32430",12200,"chr19",50411085,50411738,3.2315,"transcription_start_site","-",50413143,50413143,1405,1736,23636,"NUP62","chr19:50413143-50413143",9900,"IBSN,p62,MGC841,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:50413143-50413143&pix=800&Submit=submit,FLJ43869,FLJ20822,SNDI","nucleoporin 62kDa","BC014842","DKFZp547L134"
"20849",7947,"chr12",7344359,7344825,2.6279,"transcription_start_site","+",7342956,7342956,1403,1636,5830,"PEX5","chr12:7342956-7342956",9900,"PTS1R,PTS1-BP,PXR1,FLJ51948,FLJ50721,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr12:7342956-7342956&pix=800&Submit=submit","peroxisomal biogenesis factor 5","BC010621","FLJ50634"
"26989",10218,"chr16",84329908,84330271,2.5173,"transcription_start_site","+",84328505,84328505,1403,1584,58189,"WFDC1","chr16:84328505-84328505",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr16:84328505-84328505&pix=800&Submit=submit","WAP four-disulfide core domain 1","BC029159","PS20"
"36176",13611,"chrX",49088189,49088430,2.6221,"transcription_start_site","-",49089833,49089833,1403,1520,778,"CACNA1F","chrX:49089833-49089833",9900,"Cav1.4,CSNBX2,CORDX,JMC8,CSNB2,OA2,COD3,CSNB2A,CORDX3,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:49089833-49089833&pix=800&Submit=submit,COD4,JM8","calcium channel, voltage-dependent, L type, alpha 1F subunit","NM_005183","AIED"
"11495",4341,"chr6",43483020,43483275,2.81,"transcription_start_site","-",43484677,43484677,1402,1528,25844,"YIPF3","chr6:43484677-43484677",9900,"dJ337H4.3,DKFZp566C243,KLIP1,FinGER3,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr6:43484677-43484677&pix=800&Submit=submit","Yip1 domain family, member 3","BC019297","C6orf109"
"26634",10080,"chr16",66581989,66582714,2.3855,"transcription_start_site","-",66584116,66584116,1402,1764,7084,"TK2","chr16:66584116-66584116",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr16:66584116-66584116&pix=800&Submit=submit","thymidine kinase 2, mitochondrial","BC142970","-"
"5484",2060,"chr2",234198722,234199471,3.5037,"transcription_start_site","+",234197321,234197321,1401,1776,677772,"SCARNA6","chr2:234197321-234197321",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr2:234197321-234197321&pix=800&Submit=submit","small Cajal body-specific RNA 6","NR_003006","U88"
"31318",11823,"chr19",33164111,33164658,2.3107,"transcription_start_site","-",33166058,33166058,1400,1674,84079,"ANKRD27","chr19:33166058-33166058",9900,"PP12899,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:33166058-33166058&pix=800&Submit=submit,VARP,FLJ00040","ankyrin repeat domain 27 (VPS9 domain)","BC050529","DKFZp434L0718"
"33317",12528,"chr20",20035085,20035259,2.011,"transcription_start_site","-",20036658,20036658,1399,1486,51340,"CRNKL1","chr20:20036658-20036658",9900,"SYF3,HCRN,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr20:20036658-20036658&pix=800&Submit=submit,MSTP021,CRN","crooked neck pre-mRNA splicing factor-like 1 (Drosophila)","BC156789","CLF"
"25750",9737,"chr16",2589367,2590816,4.5163,"transcription_start_site","+",2587969,2587969,1398,2122,5170,"PDPK1","chr16:2587969-2587969",9900,"PDK1,PRO0461,MGC35290,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr16:2587969-2587969&pix=800&Submit=submit","3-phosphoinositide dependent protein kinase-1","NM_002613","MGC20087"
"33133",12455,"chr20",2819000,2819557,3.7726,"transcription_start_site","-",2820954,2820954,1397,1675,64773,"FAM113A","chr20:2820954-2820954",9900,"bA12M19.1,FLJ22376,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr20:2820954-2820954&pix=800&Submit=submit,DKFZp547L054","family with sequence similarity 113, member A","BC037240","C20orf81"
"29466",11087,"chr17",74721021,74721167,2.4128,"transcription_start_site","-",74722563,74722563,1396,1464,23210,"JMJD6","chr17:74722563-74722563",9900,"PTDSR1,PTDSR,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:74722563-74722563&pix=800&Submit=submit,PSR","jumonji domain containing 6","BC066654","KIAA0585"
"10785",4104,"chr6",4022953,4023198,2.6687,"transcription_start_site","+",4021559,4021559,1394,1516,8899,"PRPF4B","chr6:4021559-4021559",9900,"PRP4K,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr6:4021559-4021559&pix=800&Submit=submit,PRP4H,dJ1013A10.1,PRP4,PR4H","PRP4 pre-mRNA processing factor 4 homolog B (yeast)","BC034969","KIAA0536"
"6131",2316,"chr3",42914850,42915951,2.6451,"transcription_start_site","-",42917341,42917341,1390,1940,1582,"CYP8B1","chr3:42917341-42917341",9900,"CYP12,FLJ17826,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr3:42917341-42917341&pix=800&Submit=submit","cytochrome P450, family 8, subfamily B, polypeptide 1","BC067434","CP8B"
"18184",7013,"chr10",135120611,135120949,2.5471,"transcription_start_site","-",135122339,135122339,1390,1568,10844,"TUBGCP2","chr10:135122339-135122339",9900,"SPBC97,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr10:135122339-135122339&pix=800&Submit=submit,MGC138162,Spc97p","tubulin, gamma complex associated protein 2","BC093770","GCP2"
"35397",13324,"chr22",43008092,43009486,2.6353,"transcription_start_site","-",43010874,43010874,1388,2080,84271,"POLDIP3","chr22:43010874-43010874",9900,"SKAR,PDIP46,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:43010874-43010874&pix=800&Submit=submit","polymerase (DNA-directed), delta interacting protein 3","BC056912","KIAA1649"
