"","DATA_INDEX","CHROMOSOME","DATA_START","DATA_END","Peaks","FEATURE_TRACK","FEATURE_STRAND","FEATURE_START","FEATURE_END","SHORTEST_DISTANCE_FROM_FEATURE_TO_DATA_POINT","CENTER_TO_CENTER_DISTANCE_FROM_FEATURE_TO_DATA_POINT","ACC","ncbi_gene_id","Name","Region","color","OTHER","description","ID","accession","synonyms","X"
"443","24474","chr1","21605099","21605265","2.7045","transcription_start_site","-","21606183",21606183,918,1002,"",1889,"ECE1","chr1:21606183-21606183","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:21606183-21606183&pix=800&Submit=submit","endothelin converting enzyme 1","","NM_001113347","ECE",""
"12120","35180","chr19","45002924","45003569","3.9389","transcription_start_site","-","45004483",45004483,914,1236,"",7733,"ZNF180","chr19:45004483-45004483","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:45004483-45004483&pix=800&Submit=submit","zinc finger protein 180","","BC113015","HHZ168",""
"14503","36568","chrX","40983788","40984334","2.4425","transcription_start_site","+","40982881",40982881,907,1184,"",8239,"USP9X","chrX:40982881-40982881","009900","FAM,FAF,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:40982881-40982881&pix=800&Submit=submit","ubiquitin specific peptidase 9, X-linked","","BC172429","DFFRX",""
"11122","34812","chr19","9474599","9475612","2.4486","transcription_start_site","+","9473695",9473695,904,1411,"",7730,"ZNF177","chr19:9473695-9473695","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:9473695-9473695&pix=800&Submit=submit","zinc finger protein 177","","NM_003451","PIGX",""
"12253","35227","chr19","47550474","47550981","3.1099","transcription_start_site","-","47551882",47551882,901,1152,"",54958,"TMEM160","chr19:47551882-47551882","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:47551882-47551882&pix=800&Submit=submit","transmembrane protein 160","","NM_017854","FLJ20512",""
"1707","24928","chr1","119530967","119531100","2.7361","transcription_start_site","-","119531997",119531997,897,960,"",6913,"TBX15","chr1:119531997-119531997","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:119531997-119531997&pix=800&Submit=submit","T-box 15","","BC122553","TBX14",""
"9640","34234","chr17","62832274","62832415","2.5979","transcription_start_site","-","62833302",62833302,887,960,"",440456,"PLEKHM1P","chr17:62833302-62833302","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:62833302-62833302&pix=800&Submit=submit","pleckstrin homology domain containing, family M (with RUN domain) member 1 pseudogene","","NR_024386","-",""
"14137","36435","chr22","50966733","50967374","4.0116","transcription_start_site","-","50968258",50968258,884,1200,"",1890,"TYMP","chr22:50968258-50968258","009900","hPD-ECGF,MNGIE,PDECGF,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:50968258-50968258&pix=800&Submit=submit,TP","thymidine phosphorylase","","NM_001113756","ECGF1",""
"10611","34623","chr18","71957766","71958303","2.4482","transcription_start_site","-","71959179",71959179,876,1144,"",1528,"CYB5A","chr18:71959179-71959179","009900","MCB5,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr18:71959179-71959179&pix=800&Submit=submit","cytochrome b5 type A (microsomal)","","BC015182","CYB5",""
"14024","36388","chr22","45706896","45708633","4.4232","transcription_start_site","+","45706027",45706027,869,1736,"",55007,"FAM118A","chr22:45706027-45706027","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:45706027-45706027&pix=800&Submit=submit,FLJ20635","family with sequence similarity 118, member A","","BC013696","C22orf8",""
"947","24650","chr1","43292110","43292254","2.1305","transcription_start_site","+","43291248",43291248,862,936,"",114625,"ERMAP","chr1:43291248-43291248","009900","SC,PRO2801,RD,MGC118812,MGC118813,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:43291248-43291248&pix=800&Submit=submit,MGC118811","erythroblast membrane-associated protein (Scianna blood group)","","NM_018538","MGC118810",""
"14966","36702","chrX","71349749","71350898","4.2152","transcription_start_site","-","71351751",71351751,853,1432,"",340526,"RGAG4","chrX:71351751-71351751","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:71351751-71351751&pix=800&Submit=submit,KIAA2001,Mart5,Mar5","retrotransposon gag domain containing 4","","NM_001024455","6430402L03Rik",""
"11582","35000","chr19","35449006","35450357","4.6325","transcription_start_site","-","35451204",35451204,847,1524,"",126375,"ZNF792","chr19:35451204-35451204","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:35451204-35451204&pix=800&Submit=submit,MGC117233,MGC119731","zinc finger protein 792","","BC101118","FLJ38451",""
"570","24522","chr1","26631919","26632349","2.8689","transcription_start_site","-","26633195",26633195,846,1062,"",91544,"UBXN11","chr1:26633195-26633195","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:26633195-26633195&pix=800&Submit=submit,UBXD5,SOC,SOCI,DKFZp686F04228,PP2243","UBX domain protein 11","","NM_183008","COA-1",""
"9942","34353","chr17","76992836","76993179","3.0082","transcription_start_site","-","76994015",76994015,836,1008,"",124583,"CANT1","chr17:76994015-76994015","009900","SCAN-1,SCAN1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:76994015-76994015&pix=800&Submit=submit,SHAPY","calcium activated nucleotidase 1","","BC065038","DBQD",""
"1977","25027","chr1","155005199","155005348","2.2015","transcription_start_site","-","155006179",155006179,831,896,"",127579,"DCST2","chr1:155006179-155006179","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:155006179-155006179&pix=800&Submit=submit","DC-STAMP domain containing 2","","BC166652","FLJ32934",""
"9340","34124","chr17","46628852","46629009","2.3013","transcription_start_site","-","46629836",46629836,827,908,"",3213,"HOXB3","chr17:46629836-46629836","009900","Hox-2.7,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:46629836-46629836&pix=800&Submit=submit,HOX2G","homeobox B3","","BC172550","HOX2",""
"10393","34536","chr18","29339326","29339874","2.7645","transcription_start_site","-","29340699",29340699,825,1100,"",147407,"MCART2","chr18:29340699-29340699","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr18:29340699-29340699&pix=800&Submit=submit,MGC120231,MGC120232","mitochondrial carrier triple repeat 2","","BC103999","MGC120230",""
"12180","35198","chr19","45973980","45974133","2.3991","transcription_start_site","+","45973170",45973170,810,888,"",2354,"FOSB","chr19:45973170-45973170","009900","MGC42291,DKFZp686C0818,GOSB,GOS3,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:45973170-45973170&pix=800&Submit=submit,G0S3","FBJ murine osteosarcoma viral oncogene homolog B","","BC040197","AP-1",""
"12452","35293","chr19","49557245","49557465","3.0765","transcription_start_site","-","49558273",49558273,808,920,"",94027,"CGB7","chr19:49558273-49558273","009900","FLJ43118,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:49558273-49558273&pix=800&Submit=submit,FLJ35403","chorionic gonadotropin, beta polypeptide 7","","BC160150","CG-beta-a",""
"14794","36643","chrX","52735298","52735441","2.1324","transcription_start_site","-","52736249",52736249,808,880,"",727837,"SSX2B","chrX:52736249-52736249","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:52736249-52736249&pix=800&Submit=submit","synovial sarcoma, X breakpoint 2B","","NM_001164417","CT5.2b",""
"14602","36603","chrX","48335354","48337016","3.1101","transcription_start_site","+","48334548",48334548,806,1636,"",24140,"FTSJ1","chrX:48334548-48334548","009900","JM23,MRX44,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:48334548-48334548&pix=800&Submit=submit,SPB1,MRX9,TRM7","FtsJ homolog 1 (E. coli)","","NM_012280","CDLIV",""
"1069","24701","chr1","47690634","47690759","2.5135","transcription_start_site","-","47691560",47691560,801,864,"",6886,"TAL1","chr1:47691560-47691560","009900","tal-1,TCL5,bHLHa17,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:47691560-47691560&pix=800&Submit=submit","T-cell acute lymphocytic leukemia 1","","BC160033","SCL",""
"15193","36775","chrX","105067334","105067594","2.9366","transcription_start_site","+","105066535",105066535,799,928,"",203447,"NRK","chrX:105066535-105066535","009900","NESK,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:105066535-105066535&pix=800&Submit=submit,MGC131849,FLJ16788","Nik related kinase","","NM_198465","DKFZp686A17109",""
"2523","25236","chr1","205742998","205743749","4.1282","transcription_start_site","-","205744544",205744544,795,1184,"",8934,"RAB7L1","chr1:205744544-205744544","009900","RAB7L,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:205744544-205744544&pix=800&Submit=submit","RAB7, member RAS oncogene family-like 1","","BC002585","DKFZp686P1051",""
"10527","34581","chr18","49867306","49868263","3.2573","transcription_start_site","+","49866541",49866541,765,1244,"",1630,"DCC","chr18:49866541-49866541","009900","IGDCC1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr18:49866541-49866541&pix=800&Submit=submit,CRCR1","deleted in colorectal carcinoma","","NM_005215","CRC18",""
"801","24605","chr1","36947332","36947758","2.4652","transcription_start_site","-","36948508",36948508,750,964,"",1441,"CSF3R","chr1:36948508-36948508","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:36948508-36948508&pix=800&Submit=submit,GCSFR","colony stimulating factor 3 receptor (granulocyte)","","BC053585","CD114",""
"14009","36381","chr22","45073428","45073583","2.1948","transcription_start_site","+","45072687",45072687,741,816,"",55615,"PRR5","chr22:45072687-45072687","009900","FLJ20185k,PROTOR1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:45072687-45072687&pix=800&Submit=submit,PP610","proline rich 5 (renal)","","NM_001017530","FLJ20185",""
"2137","25082","chr1","159751490","159752243","2.755","transcription_start_site","+","159750758",159750758,732,1120,"",54935,"DUSP23","chr1:159750758-159750758","009900","VHZ,LDP-3,RP11-190A12.1,FLJ20442,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:159750758-159750758&pix=800&Submit=submit,MOSP","dual specificity phosphatase 23","","NM_017823","DUSP25",""
"2417","25192","chr1","200991637","200991810","2.6185","transcription_start_site","-","200992536",200992536,726,832,"",23046,"KIF21B","chr1:200992536-200992536","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:200992536-200992536&pix=800&Submit=submit","kinesin family member 21B","","BC144557","FLJ16314",""
"87","24331","chr1","2282845","2283382","2.9005","transcription_start_site","-","2284100",2284100,718,986,"",100129534,"LOC100129534","chr1:2284100-2284100","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:2284100-2284100&pix=800&Submit=submit","small nuclear ribonucleoprotein polypeptide N pseudogene","","NR_024489","MGC71285",""
"15154","36761","chrX","102470728","102471069","2.4992","transcription_start_site","+","102470019",102470019,709,880,"",56271,"BEX4","chrX:102470019-102470019","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:102470019-102470019&pix=800&Submit=submit,FLJ10097","brain expressed, X-linked 4","","NM_001127688","BEXL1",""
"9052","34025","chr17","40263537","40263986","3.3227","transcription_start_site","-","40264688",40264688,702,928,"",79132,"DHX58","chr17:40264688-40264688","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:40264688-40264688&pix=800&Submit=submit,D11lgp2e,LGP2","DEXH (Asp-Glu-X-His) box polypeptide 58","","BC014949","D11LGP2",""
"437","24470","chr1","21042747","21043572","2.8504","transcription_start_site","-","21044273",21044273,701,1112,"",57576,"KIF17","chr1:21044273-21044273","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:21044273-21044273&pix=800&Submit=submit,KIF17B,KIF3X","kinesin family member 17","","BC065927","KIAA1405",""
"1914","25012","chr1","154177661","154178108","3.7777","transcription_start_site","-","154178809",154178809,701,928,"",388701,"C1orf189","chr1:154178809-154178809","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:154178809-154178809&pix=800&Submit=submit","chromosome 1 open reading frame 189","","NM_001010979","-",""
"2414","25190","chr1","200586487","200587237","2.9122","transcription_start_site","-","200587929",200587929,692,1088,"",9928,"KIF14","chr1:200587929-200587929","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:200587929-200587929&pix=800&Submit=submit,MGC142302","kinesin family member 14","","BC113742","KIAA0042",""
"11008","34771","chr19","7004982","7005752","3.0755","transcription_start_site","-","7006426",7006426,674,1059,"",497049,"FLJ25758","chr19:7006426-7006426","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:7006426-7006426&pix=800&Submit=submit","hypothetical locus FLJ25758","","NR_024372","MGC111465",""
"2228","25114","chr1","161991866","161992974","3.6573","transcription_start_site","-","161993644",161993644,670,1232,"",25903,"OLFML2B","chr1:161993644-161993644","009900","RP11-227F8.1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:161993644-161993644&pix=800&Submit=submit","olfactomedin-like 2B","","NM_015441","MGC51337",""
"11787","35070","chr19","38755764","38758257","4.3455","transcription_start_site","+","38755097",38755097,667,1912,"",10653,"SPINT2","chr19:38755097-38755097","009900","HAI-2,Kop,FLJ45571,HAI2,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:38755097-38755097&pix=800&Submit=submit,PB","serine peptidase inhibitor, Kunitz type, 2","","NM_021102","DIAR3",""
"14703","36637","chrX","52112733","52112912","2.2557","transcription_start_site","+","52112077",52112077,656,748,"",9502,"XAGE2","chrX:52112077-52112077","009900","XAGE-2,GAGED3,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:52112077-52112077&pix=800&Submit=submit","X antigen family, member 2","","NM_130777","CT12.2",""
"11997","35131","chr19","41883089","41883434","2.5188","transcription_start_site","+","41882437",41882437,652,824,"",641649,"TMEM91","chr19:41882437-41882437","009900","IFITMD6,FLJ45695,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:41882437-41882437&pix=800&Submit=submit","transmembrane protein 91","","NM_001098823","FLJ27310",""
"476","24487","chr1","23520024","23520571","3.1611","transcription_start_site","-","23521222",23521222,651,924,"",3352,"HTR1D","chr1:23521222-23521222","009900","HTR1DA,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:23521222-23521222&pix=800&Submit=submit,HTRL,HT1DA,RDC4","5-hydroxytryptamine (serotonin) receptor 1D","","NM_000864","5-HT1D",""
"10376","34529","chr18","28621993","28622130","2.0414","transcription_start_site","-","28622781",28622781,651,720,"",1825,"DSC3","chr18:28622781-28622781","009900","DSC4,HT-CP,DSC2,DSC1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr18:28622781-28622781&pix=800&Submit=submit,DSC","desmocollin 3","","NM_024423","CDHF3",""
"10493","34570","chr18","44560445","44560984","3.0275","transcription_start_site","-","44561635",44561635,651,924,"",51224,"TCEB3B","chr18:44561635-44561635","009900","HsT832,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr18:44561635-44561635&pix=800&Submit=submit,MGC119351,TCEB3L","transcription elongation factor B polypeptide 3B (elongin A2)","","BC103911","ELOA2",""
"14847","36651","chrX","52928511","52929714","2.8834","transcription_start_site","+","52927861",52927861,650,1252,"",29057,"FAM156A","chrX:52927861-52927861","009900","TMEM29,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:52927861-52927861&pix=800&Submit=submit,PRO0659","family with sequence similarity 156, member A","","NM_014138","DKFZp686B22211",""
"11576","34998","chr19","35226127","35226778","3.2867","transcription_start_site","+","35225479",35225479,648,972,"",339318,"ZNF181","chr19:35225479-35225479","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:35225479-35225479&pix=800&Submit=submit,MGC44316","zinc finger protein 181","","NM_001145665","HHZ181",""
"433","24468","chr1","20916067","20916404","3.091","transcription_start_site","+","20915443",20915443,624,792,"",978,"CDA","chr1:20915443-20915443","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:20915443-20915443&pix=800&Submit=submit","cytidine deaminase","","NM_001785","CDD",""
"616","24539","chr1","27951952","27952131","2.1657","transcription_start_site","-","27952751",27952751,620,710,"",2268,"FGR","chr1:27952751-27952751","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:27952751-27952751&pix=800&Submit=submit,SRC2,p58c-fgr,c-src2,c-fgr,p55c-fgr,MGC75096","Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog","","NM_001042747","FLJ43153",""
"1597","24891","chr1","112045413","112045668","2.4682","transcription_start_site","-","112046285",112046285,617,752,"",140,"ADORA3","chr1:112046285-112046285","009900","AD026,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:112046285-112046285&pix=800&Submit=submit,bA552M11.5","adenosine A3 receptor","","BC029831","A3AR",""
"11280","34873","chr19","13028905","13029466","3.1808","transcription_start_site","-","13030071",13030071,605,885,"",256126,"SYCE2","chr19:13030071-13030071","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:13030071-13030071&pix=800&Submit=submit","synaptonemal complex central element protein 2","","BC172302","CESC1",""
"14186","36452","chrX","1520028","1520177","2.2381","transcription_start_site","+","1519423",1519423,605,679,"",80161,"NCRNA00105","chrX:1519423-1519423","009900","FLJ13330,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:1519423-1519423&pix=800&Submit=submit","non-protein coding RNA 105","","NR_026711","CXYorf2",""
"9333","34121","chr17","46188637","46190833","4.74","transcription_start_site","+","46188062",46188062,575,1672,"",29916,"SNX11","chr17:46188062-46188062","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:46188062-46188062&pix=800&Submit=submit","sorting nexin 11","","BC000768","MGC111019",""
"1500","24856","chr1","109201162","109203097","2.7809","transcription_start_site","-","109203664",109203664,567,1536,"",113802,"C1orf59","chr1:109203664-109203664","009900","HEN1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:109203664-109203664&pix=800&Submit=submit,MGC111091","chromosome 1 open reading frame 59","","BC088366","FLJ30525",""
"11491","34964","chr19","19640285","19640642","2.3331","transcription_start_site","+","19639719",19639719,566,744,"",374887,"YJEFN3","chr19:19639719-19639719","009900","MGC138490,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:19639719-19639719&pix=800&Submit=submit","YjeF N-terminal domain containing 3","","NM_198537","FLJ44968",""
"11763","35059","chr19","37934958","37935295","2.1715","transcription_start_site","-","37935861",37935861,566,732,"",148266,"ZNF569","chr19:37935861-37935861","009900","ZAP1,ZNF,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:37935861-37935861&pix=800&Submit=submit","zinc finger protein 569","","BC117219","FLJ32053",""
"925","24644","chr1","42920533","42921388","3.1261","transcription_start_site","-","42921927",42921927,539,968,"",84217,"ZMYND12","chr1:42921927-42921927","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:42921927-42921927&pix=800&Submit=submit","zinc finger, MYND-type containing 12","","BC024186","DKFZp434N2435",""
"11638","35017","chr19","35991916","35992275","2.8196","transcription_start_site","-","35992813",35992813,538,716,"",93099,"DMKN","chr19:35992813-35992813","009900","ZD52F10,UNQ729,FLJ79374,,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:35992813-35992813&pix=800&Submit=submit","dermokine","","NM_001035516","FLJ79374",""
